month,nums_category_img,count,total,proportion
05,46,1,8672,0.00011531365313653136
05,47,5,8672,0.0005765682656826568
05,48,3,8672,0.00034594095940959407
05,49,10,8672,0.0011531365313653136
05,50,1,8672,0.00011531365313653136
05,51,14,8672,0.0016143911439114391
05,52,13,8672,0.0014990774907749078
05,53,3,8672,0.00034594095940959407
05,54,4,8672,0.00046125461254612545
05,55,1,8672,0.00011531365313653136
05,57,9,8672,0.0010378228782287823
05,58,1,8672,0.00011531365313653136
05,59,4,8672,0.00046125461254612545
05,60,1,8672,0.00011531365313653136
05,61,9,8672,0.0010378228782287823
05,62,1,8672,0.00011531365313653136
05,63,1,8672,0.00011531365313653136
05,64,12,8672,0.0013837638376383763
05,65,2,8672,0.00023062730627306272
05,66,7,8672,0.0008071955719557196
05,67,5,8672,0.0005765682656826568
05,69,7,8672,0.0008071955719557196
05,70,2,8672,0.00023062730627306272
05,72,9,8672,0.0010378228782287823
05,73,3,8672,0.00034594095940959407
05,74,2,8672,0.00023062730627306272
05,75,8,8672,0.0009225092250922509
05,76,3,8672,0.00034594095940959407
05,77,14,8672,0.0016143911439114391
05,79,1,8672,0.00011531365313653136
05,80,6,8672,0.0006918819188191881
05,82,2,8672,0.00023062730627306272
05,83,14,8672,0.0016143911439114391
05,84,8,8672,0.0009225092250922509
05,85,3,8672,0.00034594095940959407
05,86,6,8672,0.0006918819188191881
05,87,3,8672,0.00034594095940959407
05,88,10,8672,0.0011531365313653136
05,89,4,8672,0.00046125461254612545
05,90,2,8672,0.00023062730627306272
05,91,2,8672,0.00023062730627306272
05,93,2,8672,0.00023062730627306272
05,94,7,8672,0.0008071955719557196
05,95,10,8672,0.0011531365313653136
05,96,7,8672,0.0008071955719557196
05,97,14,8672,0.0016143911439114391
05,98,1,8672,0.00011531365313653136
05,99,7,8672,0.0008071955719557196
06,0,262,3936,0.0665650406504065
06,1,138,3936,0.0350609756097561
06,2,255,3936,0.06478658536585366
06,3,146,3936,0.03709349593495935
06,4,300,3936,0.07621951219512195
06,5,102,3936,0.025914634146341462
06,6,248,3936,0.06300813008130081
06,7,184,3936,0.046747967479674794
06,8,120,3936,0.03048780487804878
06,9,274,3936,0.06961382113821138
06,10,200,3936,0.0508130081300813
06,11,97,3936,0.02464430894308943
06,12,127,3936,0.032266260162601625
06,13,90,3936,0.022865853658536585
06,14,187,3936,0.047510162601626015
06,15,214,3936,0.05436991869918699
06,16,114,3936,0.028963414634146343
06,17,216,3936,0.054878048780487805
06,18,200,3936,0.0508130081300813
06,19,306,3936,0.07774390243902439
06,20,1,3936,0.00025406504065040653
06,21,7,3936,0.0017784552845528454
06,22,2,3936,0.0005081300813008131
06,24,1,3936,0.00025406504065040653
06,25,1,3936,0.00025406504065040653
06,27,1,3936,0.00025406504065040653
06,28,5,3936,0.0012703252032520325
06,30,7,3936,0.0017784552845528454
06,31,3,3936,0.0007621951219512195
06,37,3,3936,0.0007621951219512195
06,39,2,3936,0.0005081300813008131
06,41,3,3936,0.0007621951219512195
06,42,6,3936,0.001524390243902439
06,43,3,3936,0.0007621951219512195
06,45,1,3936,0.00025406504065040653
06,47,1,3936,0.00025406504065040653
06,48,4,3936,0.0010162601626016261
06,49,6,3936,0.001524390243902439
06,51,3,3936,0.0007621951219512195
06,52,2,3936,0.0005081300813008131
06,54,9,3936,0.0022865853658536584
06,55,3,3936,0.0007621951219512195
06,59,2,3936,0.0005081300813008131
06,64,2,3936,0.0005081300813008131
06,65,3,3936,0.0007621951219512195
06,66,5,3936,0.0012703252032520325
06,67,5,3936,0.0012703252032520325
06,68,2,3936,0.0005081300813008131
06,69,5,3936,0.0012703252032520325
06,70,3,3936,0.0007621951219512195
06,72,3,3936,0.0007621951219512195
06,73,3,3936,0.0007621951219512195
06,74,2,3936,0.0005081300813008131
06,75,2,3936,0.0005081300813008131
06,80,8,3936,0.0020325203252032522
06,82,2,3936,0.0005081300813008131
06,83,5,3936,0.0012703252032520325
06,84,7,3936,0.0017784552845528454
06,85,1,3936,0.00025406504065040653
06,86,3,3936,0.0007621951219512195
06,88,1,3936,0.00025406504065040653
06,89,1,3936,0.00025406504065040653
06,91,2,3936,0.0005081300813008131
06,93,1,3936,0.00025406504065040653
06,94,2,3936,0.0005081300813008131
06,95,6,3936,0.001524390243902439
06,96,1,3936,0.00025406504065040653
06,97,2,3936,0.0005081300813008131
06,99,3,3936,0.0007621951219512195
07,0,71,1487,0.04774714189643578
07,1,15,1487,0.010087424344317418
07,2,85,1487,0.05716207128446537
07,3,47,1487,0.03160726294552791
07,4,103,1487,0.06926698049764626
07,5,36,1487,0.0242098184263618
07,6,47,1487,0.03160726294552791
07,7,90,1487,0.0605245460659045
07,8,91,1487,0.06119704102219233
07,9,92,1487,0.06186953597848016
07,10,102,1487,0.06859448554135844
07,11,150,1487,0.10087424344317418
07,12,55,1487,0.03698722259583053
07,13,63,1487,0.04236718224613315
07,14,56,1487,0.03765971755211836
07,15,37,1487,0.02488231338264963
07,16,19,1487,0.012777404169468728
07,17,146,1487,0.09818426361802286
07,18,64,1487,0.04303967720242098
07,19,85,1487,0.05716207128446537
07,25,1,1487,0.0006724949562878278
07,30,1,1487,0.0006724949562878278
07,31,1,1487,0.0006724949562878278
07,34,2,1487,0.0013449899125756557
07,36,1,1487,0.0006724949562878278
07,41,3,1487,0.0020174848688634837
07,45,1,1487,0.0006724949562878278
07,46,1,1487,0.0006724949562878278
07,48,1,1487,0.0006724949562878278
07,51,2,1487,0.0013449899125756557
07,52,2,1487,0.0013449899125756557
07,53,1,1487,0.0006724949562878278
07,55,1,1487,0.0006724949562878278
07,74,1,1487,0.0006724949562878278
07,75,2,1487,0.0013449899125756557
07,84,1,1487,0.0006724949562878278
07,87,2,1487,0.0013449899125756557
07,88,2,1487,0.0013449899125756557
07,89,1,1487,0.0006724949562878278
07,91,1,1487,0.0006724949562878278
07,93,2,1487,0.0013449899125756557
07,95,1,1487,0.0006724949562878278
07,97,1,1487,0.0006724949562878278
07,99,1,1487,0.0006724949562878278
08,0,74,1662,0.044524669073405534
08,1,19,1662,0.011432009626955475
08,2,91,1662,0.05475330926594465
08,3,63,1662,0.03790613718411552
08,4,114,1662,0.06859205776173286
08,5,42,1662,0.02527075812274368
08,6,61,1662,0.036702767749699154
08,7,84,1662,0.05054151624548736
08,8,82,1662,0.049338146811071
08,9,95,1662,0.057160048134777375
08,10,131,1662,0.07882069795427196
08,11,119,1662,0.07160048134777376
08,12,86,1662,0.05174488567990373
08,13,76,1662,0.0457280385078219
08,14,61,1662,0.036702767749699154
08,15,48,1662,0.02888086642599278
08,16,34,1662,0.02045728038507822
08,17,174,1662,0.10469314079422383
08,18,47,1662,0.028279181708784597
08,19,89,1662,0.05354993983152828
08,25,3,1662,0.0018050541516245488
08,26,2,1662,0.0012033694344163659
08,32,1,1662,0.0006016847172081829
08,34,1,1662,0.0006016847172081829
08,35,1,1662,0.0006016847172081829
08,36,2,1662,0.0012033694344163659
08,40,2,1662,0.0012033694344163659
08,41,5,1662,0.0030084235860409147
08,46,1,1662,0.0006016847172081829
08,48,5,1662,0.0030084235860409147
08,49,9,1662,0.005415162454873646
08,51,3,1662,0.0018050541516245488
08,53,1,1662,0.0006016847172081829
08,55,3,1662,0.0018050541516245488
08,57,1,1662,0.0006016847172081829
08,59,1,1662,0.0006016847172081829
08,63,4,1662,0.0024067388688327317
08,69,1,1662,0.0006016847172081829
08,70,3,1662,0.0018050541516245488
08,73,1,1662,0.0006016847172081829
08,74,1,1662,0.0006016847172081829
08,75,2,1662,0.0012033694344163659
08,83,3,1662,0.0018050541516245488
08,85,3,1662,0.0018050541516245488
08,86,2,1662,0.0012033694344163659
08,88,3,1662,0.0018050541516245488
08,89,3,1662,0.0018050541516245488
08,93,1,1662,0.0006016847172081829
08,95,3,1662,0.0018050541516245488
08,99,1,1662,0.0006016847172081829
09,0,71,1905,0.03727034120734908
09,1,55,1905,0.028871391076115485
09,2,125,1905,0.06561679790026247
09,3,101,1905,0.05301837270341207
09,4,80,1905,0.04199475065616798
09,5,32,1905,0.01679790026246719
09,6,53,1905,0.027821522309711286
09,7,99,1905,0.05196850393700787
09,8,84,1905,0.04409448818897638
09,9,244,1905,0.12808398950131233
09,10,107,1905,0.05616797900262467
09,11,89,1905,0.046719160104986876
09,12,100,1905,0.05249343832020997
09,13,87,1905,0.04566929133858268
09,14,64,1905,0.03359580052493438
09,15,59,1905,0.030971128608923884
09,16,17,1905,0.008923884514435695
09,17,182,1905,0.09553805774278215
09,18,75,1905,0.03937007874015748
09,19,113,1905,0.05931758530183727
09,22,1,1905,0.0005249343832020997
09,24,2,1905,0.0010498687664041995
09,25,3,1905,0.0015748031496062992
09,26,4,1905,0.002099737532808399
09,28,1,1905,0.0005249343832020997
09,34,4,1905,0.002099737532808399
09,35,6,1905,0.0031496062992125984
09,36,1,1905,0.0005249343832020997
09,40,1,1905,0.0005249343832020997
09,45,1,1905,0.0005249343832020997
09,47,1,1905,0.0005249343832020997
09,48,1,1905,0.0005249343832020997
09,49,1,1905,0.0005249343832020997
09,50,1,1905,0.0005249343832020997
09,52,1,1905,0.0005249343832020997
09,53,3,1905,0.0015748031496062992
09,55,1,1905,0.0005249343832020997
09,56,1,1905,0.0005249343832020997
09,63,6,1905,0.0031496062992125984
09,64,1,1905,0.0005249343832020997
09,67,1,1905,0.0005249343832020997
09,68,1,1905,0.0005249343832020997
09,70,1,1905,0.0005249343832020997
09,72,2,1905,0.0010498687664041995
09,73,1,1905,0.0005249343832020997
09,74,2,1905,0.0010498687664041995
09,75,2,1905,0.0010498687664041995
09,81,1,1905,0.0005249343832020997
09,83,1,1905,0.0005249343832020997
09,84,1,1905,0.0005249343832020997
09,85,1,1905,0.0005249343832020997
09,88,3,1905,0.0015748031496062992
09,89,1,1905,0.0005249343832020997
09,90,2,1905,0.0010498687664041995
09,92,1,1905,0.0005249343832020997
09,95,5,1905,0.0026246719160104987
09,99,1,1905,0.0005249343832020997
