poster_id,post_id,nums_category_img,post_date,post_like,post_collect
55ba37e567bc652d2acdc72d,666136c9000000000e0331b9,8,06-06,87,14
5847e03f6a6a6974edfc065e,664ffcfc000000001303cc42,15,05-24,307,104
5bc7fce62d9b750001ac98e0,66061303000000001203ca4c,5,03-29,160,14
5daf230d0000000001009946,64829e2700000000120331ff,17,2023-06-10,1000,10
5cc2058b0000000011004f19,65bafdc2000000002c03c92e,5,02-01,240,35
5c17274b0000000005004762,663c506e000000001e031bb9,11,05-09,55,30
5eca3c6e000000000100153f,65e03fa0000000000b020596,12,03-01,133,55
6052d72e000000000101f84e,6664f1f0000000000e032120,4,06-09,1000,10
5bd97a789333970001407645,649d51b200000000130012c5,9,2023-06-29,10,10
566b06e8b8ce1a3553270156,64886f07000000000800ff08,15,2023-06-15,27,15
5fd456e40000000001003baf,66646cc9000000001303d9ee,4,06-09,33,21
5a38d001e8ac2b03a8b0ede8,65767999000000000503ac88,17,2023-12-12,1544,105
5aba606911be10295ed87da0,662b2b8a000000001c006ed8,5,2024-04-26,8871,3515
592c72be50c4b47b345a70f0,658eb4640000000015003991,1,2023-12-29,92,15
592c72be50c4b47b345a70f0,658eb4640000000015003991,1,2023-12-29,92,15
5d975024000000000100966b,65e8562b0000000004003bd9,3,2024-03-06,149,74
58a1c839a9b2ed49d81f483b,65818b87000000000801f7a0,9,2023-12-19,127,10
54c7a018b4c4d6163d68920a,6510f65d000000001f036293,18,2023-10-07,421,209
5daf230d0000000001009946,663d99a9000000001e027149,10,2024-05-10,533,81
5847e03f6a6a6974edfc065e,6655b1f200000000150129e7,4,05-28,67,12
61f2192900000000100070b8,651e5826000000001d03a658,4,2023-10-08,82,15
5daf230d0000000001009946,6652bef3000000000f00f71d,10,2024-05-26,4108,775
5979953e6a6a69531719d4eb,6590e672000000000f01274a,6,2023-12-31,325,99
5f4c99eb0000000001005b17,66165cb7000000001a00dac8,0,2024-04-10,5372,2540
5a5e0afb11be1017b83be966,65e5bc1e0000000004001e45,14,03-04,173,78
5a5e0afb11be1017b83be966,65e5bc1e0000000004001e45,14,03-04,173,78
5a5e0afb11be1017b83be966,65e5bc1e0000000004001e45,14,03-04,10,10
61bc9352000000001000ec0d,657144eb00000000050390d6,3,2023-12-07,3246,1692
617fb2900000000010007cda,654afb94000000002500a015,8,2023-11-08,279,48
6016c3da0000000001008367,6647f5220000000005007eee,3,05-19,466,185
5e60e721000000000100771f,65a5e28c0000000011014c2a,4,01-16,53,12
5daf230d0000000001009946,65b88d66000000001100c5a1,10,2024-01-30,118,23
